code;name;sitecode;lat;lon;start;stop;lm;m_6;m_5;m_4;m_3;m_2;m_1;m0;m1;m2;m3;m4;m5;m6;m7
AMOAA;Alexandre Amorim;72911;-27.6083;-48.4375;2012-04-22 07:00:00;2012-04-22 08:29:00;5.500;0;0;0;0;0;0;0;2;1;0;0;0;0;0
AMOAN;Alexandre Amorim;14569;-27.6603;-48.5436;2012-05-05 06:45:00;2012-05-05 07:14:00;5.100;0;0;0;0;0;0;0;2;2;0;1;0;0;0
AMOAN;Alexandre Amorim;14569;-27.6603;-48.5436;2012-05-05 07:15:00;2012-05-05 07:44:00;5.100;0;0;0;0;0;0;0;0;2;2;1;0;0;0
AMOAN;Alexandre Amorim;14569;-27.6603;-48.5436;2012-05-05 07:45:00;2012-05-05 08:14:00;5.100;0;0;0;0;0;0;1;1;1;0;1;0;0;0
AMOAN;Alexandre Amorim;14569;-27.6603;-48.5436;2012-05-05 08:15:00;2012-05-05 09:06:00;4.973;0;0;0;0;0;0;1;1;4;0;1;0;0;0
COOTA;TIM COOPER;41003;-26.0902;28.3161;2012-05-01 01:23:00;2012-05-01 02:23:00;5.750;0;0;0;0;0;1;1;1;0.5;0.5;0.5;0.5;0;0
COOTA;TIM COOPER;41003;-26.0902;28.3161;2012-05-01 02:23:00;2012-05-01 03:26:00;5.900;0;0;0;0;0;0;0;0;0;0;1;1;0;0
COOTB;TIM COOPER;41003;-26.0902;28.3161;2012-05-02 01:30:00;2012-05-02 02:30:00;5.500;0;0;0;0;0;0;1;1;0;1;1;0;0;0
COOTB;TIM COOPER;41003;-26.0902;28.3161;2012-05-02 02:37:00;2012-05-02 03:01:00;5.600;0;0;0;0;0;0;0;1;0;1;0.5;0.5;0;0
COOTC;TIM COOPER;41003;-26.0902;28.3161;2012-05-03 01:30:00;2012-05-03 02:30:00;5.650;0;0;0;0;0;0;0;0.5;1.5;1;0;0;0;0
COOTC;TIM COOPER;41003;-26.0902;28.3161;2012-05-03 02:38:00;2012-05-03 03:36:00;5.900;0;0;0;0;2;0;0;2;2.5;0.5;2.5;0.5;0;0
COOTD;TIM COOPER;41003;-26.0902;28.3161;2012-05-04 02:15:00;2012-05-04 02:45:00;5.900;0;0;0;0;0;0;1;4;0;0;0;2;0;0
COOTD;TIM COOPER;41003;-26.0902;28.3161;2012-05-04 02:45:00;2012-05-04 03:32:00;5.900;0;0;0;0;0;1;2.5;3;1;3.5;1.5;1;0.5;0
COOTE;TIM COOPER;41003;-26.0902;28.3161;2012-05-05 02:19:00;2012-05-05 03:00:00;5.500;0;0;0;0;0;0;1;2;2;4.5;1.5;1;0;0
COOTE;TIM COOPER;41003;-26.0902;28.3161;2012-05-05 03:00:00;2012-05-05 03:32:00;5.750;0;0;0;0;0;1;3;1;0;4;2.5;0.5;0;0
COOTF;TIM COOPER;41003;-26.0902;28.3161;2012-05-06 02:18:00;2012-05-06 03:22:00;5.250;0;0;0;0;0;0;2;2;2;4;1.5;0.5;0;0
COOTM;TIM COOPER;41003;-26.0902;28.3161;2012-04-30 01:25:00;2012-04-30 02:25:00;5.850;0;0;0;0;0;0;0;1;0;1;1;0;0;0
COOTM;TIM COOPER;41003;-26.0902;28.3161;2012-04-30 02:25:00;2012-04-30 03:25:00;6.000;0;0;0;0;0;0;0;0;0;2;0.5;1.5;0;0
DEBDI;Diego de Bastiani;16153;-27.0186;-52.6275;2012-04-22 05:15:00;2012-04-22 06:00:00;5.000;0;0;0;0;0;0;0;0;1;3;0;0;0;0
JACMA;Margarete Jacques Amorim;11236;-27.6083;-48.4375;2012-04-22 07:00:00;2012-04-22 08:45:00;5.400;0;0;0;0;0;0;0;1;1;0;0;0;0;0
MYSMD;Maciej Myszkiewicz;99623;52.1650;22.2714;2012-05-09 22:00:00;2012-05-10 00:05:00;6.550;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ROSTS;Terrence Ross;299;30.2764;-103.5942;2012-05-05 10:15:00;2012-05-05 11:20:00;4.790;0;0;0;1;0;0;0;1;1;0;0;0;0;0
ROSTT;Terrence Ross;64616;30.2764;-103.5942;2012-05-06 09:45:00;2012-05-06 10:45:00;3.900;0;0;0;0;0;0;0;2;2;0;0;0;0;0
TMP1350;Branislav Savic;54485;44.2000;19.8244;2012-05-06 00:43:00;2012-05-06 01:25:00;5.300;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0
TMP4276;Branislav Savic;43147;44.2000;19.8244;2012-05-09 00:45:00;2012-05-09 02:11:00;5.842;0;0;0;0;0;1;1;0;1;0;0;0;0;0
