code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
AGUSA;Salvador Aguirre;80588;29.2175;-110.7606;2007-04-22 07:55:00;2007-04-22 08:56:00;1.0000;6.200;1.000;4
ARLRA;RAINER ARLT;10796;52.5000;14.0167;2007-04-21 22:25:00;2007-04-21 23:24:00;0.9700;5.950;1.000;3
ARLRA;RAINER ARLT;10796;52.5000;14.0167;2007-04-21 23:24:00;2007-04-22 00:15:00;0.8200;6.010;1.000;6
ARLRA;RAINER ARLT;10796;52.5000;14.0167;2007-04-22 01:29:00;2007-04-22 01:46:00;0.2500;6.010;1.000;3
ARLRA;RAINER ARLT;10796;52.5000;14.0167;2007-04-22 01:46:00;2007-04-22 02:12:00;0.4000;5.850;1.000;2
ARLRA;RAINER ARLT;42065;52.5000;14.0167;2007-04-22 22:09:00;2007-04-22 22:49:00;0.6700;5.440;1.000;4
BADPI;PIERRE BADER;13266;49.8333;9.9500;2007-04-16 00:15:00;2007-04-16 01:56:00;1.6000;6.400;1.000;3
BADPI;PIERRE BADER;24743;49.8333;9.9500;2007-04-18 00:53:00;2007-04-18 02:48:00;1.7500;6.400;1.000;3
BADPI;PIERRE BADER;22698;52.5500;14.0167;2007-04-20 22:15:00;2007-04-20 23:35:00;1.2000;6.740;1.000;5
BADPI;PIERRE BADER;22698;52.5500;14.0167;2007-04-21 00:32:00;2007-04-21 01:03:00;0.4500;6.100;1.100;1
BADPI;PIERRE BADER;22698;52.5500;14.0167;2007-04-21 01:15:00;2007-04-21 02:02:00;0.7500;6.730;1.000;3
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-21 22:15:00;2007-04-21 23:00:00;0.6500;6.470;1.000;1
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-21 23:00:00;2007-04-21 23:30:00;0.4500;6.500;1.000;1
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-21 23:30:00;2007-04-22 00:00:00;0.4500;6.500;1.000;5
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-22 00:00:00;2007-04-22 00:30:00;0.4500;6.520;1.000;1
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-22 00:30:00;2007-04-22 01:00:00;0.4500;6.600;1.000;6
BADPI;PIERRE BADER;3267;52.5500;14.0167;2007-04-22 01:00:00;2007-04-22 01:30:00;0.4500;6.600;1.000;2
