code;name;sitecode;lat;lon;start;stop;lm;m_6;m_5;m_4;m_3;m_2;m_1;m0;m1;m2;m3;m4;m5;m6;m7
AGAIB;Ioan Agavriloaiei;43594;47.5928;26.3364;2011-10-26 21:42:00;2011-10-27 00:04:00;5.850;0;0;0;0;0;0;0;0;1.5;1;4;4;1.5;0
AGAIN;Ioan Agavriloaiei;24285;47.5928;26.3364;2011-10-19 21:53:00;2011-10-19 22:38:00;5.700;0;0;0;0;0;0;0;0.5;2;0.5;1;2;0;0
AGAIN;Ioan Agavriloaiei;24285;47.5928;26.3364;2011-10-19 22:48:00;2011-10-19 23:31:00;5.550;0;0;0;0;0;0;0;0.5;1.5;0.5;1;2.5;0;0
AGAIN;Ioan Agavriloaiei;24285;47.5928;26.3364;2011-10-19 23:51:00;2011-10-20 00:53:00;5.550;0;0;0;0;0;0;0;0;1;1.5;3;0.5;0;0
AGUSM;Salvador Aguirre;43970;29.2175;-110.7606;2011-10-13 11:30:00;2011-10-13 11:45:00;4.000;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AGUSN;Salvador Aguirre;41153;29.2175;-110.7606;2011-10-21 07:21:00;2011-10-21 08:01:00;6.000;0;0;0;0;1;0;0;0;0;2;0;0;0;0
AGUSN;Salvador Aguirre;41153;29.2175;-110.7606;2011-10-21 09:46:00;2011-10-21 10:47:00;5.000;0;0;0;0;0;1;1;0;0;1;0;0;0;0
AGUSP;Salvador Aguirre;73440;29.2175;-110.9633;2011-10-22 11:30:00;2011-10-22 11:45:00;4.500;0;0;0;0;0;1;0;0;0;0;0;0;0;0
AMOAE;Alexandre Amorim;68731;-27.6603;-48.5436;2011-10-22 03:30:00;2011-10-22 06:29:00;5.301;0;0;0;0;0;1;2;1;1;2;0;0;0;0
ANTJA;Joanna Antosik;34023;52.3864;20.9267;2011-10-22 23:10:00;2011-10-23 00:15:00;5.200;0;0;0;1;1;3;4;3;3;2;1;0;0;0
ARLRE;Rainer Arlt;96640;52.2908;13.2592;2011-10-21 20:07:00;2011-10-22 00:30:00;5.852;0;0;0;0;0;0;1;2;2;4;2;0;0;0
ARLRR;Rainer Arlt;94158;52.2908;13.2592;2011-10-22 23:33:00;2011-10-23 01:47:00;5.930;0;0;0;0;0;0;0.5;3;3.5;3;6;2;0;0
ARLSE;Stela Arlt;12471;52.2908;13.2592;2011-10-22 23:48:00;2011-10-23 01:30:00;6.312;0;0;0;0;0;0;0;3.5;4;9;3.5;3;0;0
ARLST;Stela Arlt;45244;52.2908;13.2592;2011-10-21 20:05:00;2011-10-21 20:55:00;6.130;0;0;0;0;0;0;0;0;0;1;0;0;0;0
AXETO;Tom Axelsen;1953;54.9589;12.3028;2011-10-22 23:00:00;2011-10-23 00:00:00;5.980;0;0;0;0;0;0;0;2;2;2;0;0;0;0
AXETO;Tom Axelsen;1953;54.9589;12.3028;2011-10-23 00:20:00;2011-10-23 01:20:00;6.030;0;0;0;0;0;0;1;1;5;2;3;2;0;0
BADPA;Pierre Bader;41087;49.8333;9.9500;2011-10-22 21:00:00;2011-10-22 23:45:00;6.350;0;0;0;0;1;0;2;4;2;4;2;1;0;0
BADPB;Pierre Bader;50295;49.8333;9.9500;2011-10-24 00:37:00;2011-10-24 02:16:00;6.200;0;0;0;0;1.5;2.5;0;4;2.5;4.5;0.5;1.5;0;0
BADPC;Pierre Bader;74309;49.8333;9.9500;2011-10-28 02:20:00;2011-10-28 04:00:00;6.050;0;0;0;0;0;0;0;2;2;2;2;0;0;0
BADPE;Pierre Bader;11605;50.6617;10.5583;2011-10-02 23:05:00;2011-10-03 01:10:00;6.450;0;0;0;0;0;0;0;0;3;0;0;1;1;0
BADPF;Pierre Bader;72051;49.8333;9.9500;2011-10-27 00:25:00;2011-10-27 02:12:00;6.370;0;0;0;0;0;0;1;1.5;3.5;1.5;3.5;0;0;0
BADPR;Pierre Bader;11605;50.6617;10.5583;2011-10-03 23:15:00;2011-10-04 01:19:00;6.375;0;0;0;0;0;0;0;0;1;0.5;1.5;1;0;0
BARRD;Rafael Barrios;88713;10.0500;-69.3000;2011-10-23 04:30:00;2011-10-23 04:59:00;5.300;0;0;0;0;0;0;1;1;0;0;0;0;0;0
BETFI;Felix Bettonvil;10705;42.9364;0.1428;2011-10-09 03:27:00;2011-10-09 04:47:00;6.488;0;0;0;0;0;0;0;0;0;1;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-21 23:00:00;2011-10-21 23:30:00;6.100;0;0;0;0;2;0;0;1;0;0;1;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-21 23:30:00;2011-10-22 00:00:00;6.100;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 00:27:00;2011-10-22 01:00:00;6.100;0;0;0;0;2;0;2;1;0;0;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 01:00:00;2011-10-22 01:30:00;6.300;0;0;0;0;2;0;0;2;0;3;2;2;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 01:30:00;2011-10-22 02:00:00;6.200;0;0;0;0;0;0;0;2;2;0;0;1;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 02:00:00;2011-10-22 02:30:00;6.200;0;0;0;0;0;0;0;0;3;0;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 02:30:00;2011-10-22 03:00:00;6.200;0;0;0;0;0;1;0;1;0;0;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 03:05:00;2011-10-22 03:30:00;6.200;0;0;0;0;1;1;0;0;3;1;0;0;0;0
BIEJM;Jean-Marie Biets;71905;50.7233;5.7233;2011-10-22 03:30:00;2011-10-22 04:00:00;6.200;0;0;0;0;1;0;0;1;2;0;1;0;0;0
BIRZO;Zsofia Biro;75934;48.1106;20.6289;2011-10-29 21:45:00;2011-10-29 23:45:00;2.000;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BIRZO;Zsofia Biro;75934;48.1106;20.6289;2011-10-30 00:50:00;2011-10-30 01:50:00;4.000;0;0;0;0;1;0;1;0;0;0;0;0;0;0
BIRZS;Zsofia Biro;17122;47.6667;18.4000;2011-10-21 21:30:00;2011-10-21 22:15:00;6.000;0;0;0;0;0;1;1;0;0;1;0;0;0;0
BIRZS;Zsofia Biro;17122;47.6667;18.4000;2011-10-21 22:15:00;2011-10-21 23:00:00;6.000;0;0;0;0;0;1;2;0;0;2;1;1;0;0
BIRZS;Zsofia Biro;17122;47.6667;18.4000;2011-10-21 23:00:00;2011-10-21 23:45:00;6.000;0;0;0;0;0;1;1;0;1;1;0;1;0;0
BIRZS;Zsofia Biro;17122;47.6667;18.4000;2011-10-21 23:45:00;2011-10-22 00:30:00;6.000;0;0;0;0;0;2;4;1;0;1;1;0;0;0
BIRZS;Zsofia Biro;17122;47.6667;18.4000;2011-10-22 00:30:00;2011-10-22 01:15:00;6.000;0;0;0;1;0;1;1;0;1;0;0;0;0;0
