code;name;sitecode;lat;lon;start;stop;lm;m_6;m_5;m_4;m_3;m_2;m_1;m0;m1;m2;m3;m4;m5;m6;m7
CERAC;Ana Cernok;36902;19.9264;44.2458;2014-01-03 01:14:00;2014-01-03 02:12:00;5.214;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CERAE;Ana Cernok;49376;44.2458;15.9264;2014-01-03 01:14:00;2014-01-03 02:12:00;5.214;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 18:10:00;2014-01-03 20:24:00;5.489;0;0;0;0;0;0;1;7;5.5;4.5;0;0;0;0
CHEWU;Wushuang Chenye;31187;43.4708;87.1778;2014-01-03 20:31:00;2014-01-03 20:37:00;5.160;0;0;0;0;0;0;1;0;3;6;2;0;0;0
CHEWU;Wushuang Chenye;31187;43.4708;87.1778;2014-01-03 20:38:00;2014-01-03 20:44:00;5.160;0;0;0;0;0;0;1;2;1;2;4;1;0;0
CHOS-;Seok-hee Cho;66822;34.3364;126.8283;2014-01-01 19:25:00;2014-01-01 19:55:00;5.000;0;0;0;0;0;0;0;0;0;1;0;0;0;0
CHOS-;Seok-hee Cho;66822;34.3364;126.8283;2014-01-01 20:15:00;2014-01-01 21:00:00;5.000;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CHOSD;Seok-hee Cho;22347;34.3364;126.8283;2014-01-03 19:10:00;2014-01-03 19:50:00;4.000;0;0;0;0;0;0;0;2;3;1;0;0;0;0
CHOSD;Seok-hee Cho;22347;34.3364;126.8283;2014-01-03 20:00:00;2014-01-03 20:40:00;4.300;0;0;0;0;0;0;0;3;2;2;0;0;0;0
COSDJ;Daniel Cosovanu;76919;47.6931;25.8394;2014-01-03 20:30:00;2014-01-03 20:55:00;5.430;0;0;0;0;0;0;0;2;1;7;4;0;0;0
COSDK;Daniel Cosovanu;45917;47.8614;25.8269;2014-01-04 17:30:00;2014-01-04 18:15:00;4.230;0;0;0;0;0;0;0;0;0;1;1;0;0;0
COSIV;Ilie Cosovanu;65586;47.6931;25.8394;2014-01-03 20:55:00;2014-01-03 21:24:00;5.410;0;0;0;0;1;1;0;5;0;2;0;2;0;0
CSOTE;Tibor Csorgei;37280;48.0850;17.5467;2014-01-03 18:42:00;2014-01-03 19:12:00;6.100;0;0;0;0;0;0;0;1;0;4;1;1;0;0
CSOTE;Tibor Csorgei;37280;48.0850;17.5467;2014-01-03 19:13:00;2014-01-03 19:43:00;6.150;0;0;0;0;0;0;1;0;2;2;0;1;0;0
CSOTE;Tibor Csorgei;37280;48.0850;17.5467;2014-01-03 19:49:00;2014-01-03 20:19:00;6.100;0;0;0;0;0;0;0;1;1;2;0;0;0;0
CSOTE;Tibor Csorgei;37280;48.0850;17.5467;2014-01-03 20:37:00;2014-01-03 21:07:00;6.000;0;0;0;0;0;0;0;0;3;3;0;0;0;0
DAVMD;Mark Davis;28703;33.0322;-80.3869;2014-01-04 05:10:00;2014-01-04 06:10:00;5.780;0;0;0;0;0;0;0;0;1;1;0;0;0;0
DAVMD;Mark Davis;28703;33.0322;-80.3869;2014-01-04 06:10:00;2014-01-04 07:10:00;5.780;0;0;0;0;0;0;0;1;1;0;0;0;0;0
FAJTZ;TOMASZ FAJFER;22539;53.0544;18.5400;2014-01-03 18:55:00;2014-01-03 19:11:00;5.640;0;0;0;0;0;1;0;1;0;0;0;0;0;0
FAJTZ;TOMASZ FAJFER;22539;53.0544;18.5400;2014-01-03 19:11:00;2014-01-03 19:27:00;5.770;0;0;0;0;0;1;0;1.5;0.5;0.5;1.5;0;0;0
GENJI;jin geng;79542;39.7819;115.5247;2014-01-03 18:18:00;2014-01-03 18:42:00;5.160;0;0;0;0;0;0;0;4;0;2;1;0;0;0
GENJI;jin geng;79542;39.7819;115.5247;2014-01-03 20:20:00;2014-01-03 20:32:00;5.160;0;0;0;0;0;0;1;2;3;1;1;0;0;0
GENJI;jin geng;79542;39.7819;115.5247;2014-01-03 20:33:00;2014-01-03 20:41:00;5.160;0;0;0;0;0;0;1;1;4;3;3;0;0;0
HERCM;Carl Hergenrother;32447;32.2819;-110.7683;2014-01-03 10:34:00;2014-01-03 10:54:00;6.030;0;0;0;0;0;0;0;2;1;3;0;0;0;0
HERCM;Carl Hergenrother;32447;32.2819;-110.7683;2014-01-03 10:54:00;2014-01-03 11:14:00;6.030;0;0;0;0;0;0;0;1;0;4;3;1;0;0
HERCM;Carl Hergenrother;32447;32.2819;-110.7683;2014-01-03 11:14:00;2014-01-03 11:34:00;6.030;0;0;0;0;0;0;0;1;4;2;0;0;0;0
HUACU;Chengyun  Huang;15972;31.4469;121.8853;2014-01-03 17:45:00;2014-01-03 18:50:00;3.577;0;0;0;0;1;2;1;0;2.5;0.5;0;0;0;0
HUASD;SHAN HUANG;95632;23.6950;113.8761;2014-01-03 18:18:00;2014-01-03 19:14:00;4.410;0;0;0;0;0;0;1;4;7;0;0;0;0;0
HUASD;SHAN HUANG;95632;23.6950;113.8761;2014-01-03 19:15:00;2014-01-03 20:00:00;3.553;0;0;0;0;0;1;1;3;2;0;0;0;0;0
HUASD;SHAN HUANG;95632;23.6950;113.8761;2014-01-03 20:09:00;2014-01-03 21:09:00;3.647;0;0;0;0;0;0;1;0;2;2;0;0;0;0
HUASD;SHAN HUANG;95632;23.6950;113.8761;2014-01-03 21:10:00;2014-01-03 21:49:00;2.971;0;0;0;0;0;0;1;1;1;0;0;0;0;0
KATOG;Omri Katz;73527;30.3081;35.1328;2014-01-03 21:55:00;2014-01-04 01:30:00;6.000;0;0;0;0;0;0;1;3;4;5;4;3;0;0
KOZPC;Pete Kozich;6953;38.8333;-89.1667;2014-01-03 10:35:00;2014-01-03 11:01:00;5.100;0;0;0;0;0;0;1;3;1;5;1;0;0;0
KOZPC;Pete Kozich;6953;38.8333;-89.1667;2014-01-03 11:12:00;2014-01-03 11:48:00;5.100;0;0;0;0;1;0;0;0;10;7;0;0;0;0
KWIMC;Maciej Kwinta;34017;49.9833;19.8833;2014-01-03 18:56:00;2014-01-03 19:26:00;5.600;0;0;0;0;0;0;0;0;0;1;0;0;0;0
